easting;northing;lat;long;elev;time;name
596684.924374731;6739940.19700277;60.7831359934;-139.2243229598;2118.165527;2016-05-07T01:37:57Z;174
596673.535173159;6739998.61149737;60.7836629637;-139.2245030031;2120.777344;2016-05-07T01:40:06Z;175
596643.224047946;6740047.71560619;60.7841109764;-139.2250350025;2128.010254;2016-05-07T01:42:29Z;176
596598.040841727;6740088.73077016;60.784490006;-139.2258440238;2135.591553;2016-05-07T01:44:59Z;177
596545.214439509;6740114.38060717;60.7847329974;-139.2268009856;2146.506592;2016-05-07T01:47:24Z;178
596494.347414476;6740144.10044767;60.785012031;-139.2277199775;2154.337158;2016-05-07T01:49:37Z;179
596440.022168507;6740148.5368279;60.7850650046;-139.2287149932;2160.952148;2016-05-07T01:55:41Z;180
596378.700508685;6740147.76955962;60.7850729674;-139.2298410181;2166.585938;2016-05-07T01:58:34Z;181
596320.473878821;6740151.43935468;60.7851199899;-139.2309080344;2174.932617;2016-05-07T02:00:47Z;182
596279.72043265;6740115.35224022;60.7848060038;-139.2316739727;2178.5271;2016-05-07T02:02:49Z;183
596248.735861593;6740064.2573749;60.7843549736;-139.2322679982;2177.18042;2016-05-07T02:04:43Z;184
595745.930077651;6740386.61485254;60.7873690221;-139.2413389776;2252.424072;2016-05-07T16:57:37Z;185
595816.257611213;6740327.54575141;60.7868220191;-139.2400769982;2238.85083;2016-05-07T17:10:28Z;186
595882.601301646;6740268.8193768;60.7862790395;-139.2388880253;2228.091797;2016-05-07T17:12:51Z;187
595955.939294014;6740217.52069918;60.7858010195;-139.2375670373;2218.990967;2016-05-07T17:15:07Z;188
596038.408416709;6740177.38765399;60.785420984;-139.2360729631;2209.045166;2016-05-07T17:17:25Z;189
596118.834736078;6740140.10632061;60.7850670163;-139.2346150149;2199.503662;2016-05-07T17:19:37Z;190
596199.211120987;6740098.80907162;60.7846770063;-139.2331600003;2188.935303;2016-05-07T17:21:41Z;191
596279.407956386;6740060.18005168;60.7843109686;-139.2317069974;2177.856201;2016-05-07T17:23:41Z;192
596362.208849779;6740022.0806705;60.783949038;-139.2302059662;2166.872803;2016-05-07T17:25:40Z;193
596443.614435722;6739985.1597259;60.7835980039;-139.2287299968;2153.661377;2016-05-07T17:27:49Z;194
596526.27963115;6739948.16251851;60.783245964;-139.2272309773;2141.720703;2016-05-07T17:30:26Z;195
596606.541063961;6739909.4395994;60.7828790043;-139.2257769685;2130.698242;2016-05-07T17:32:20Z;196
596688.479266826;6739871.09070244;60.7825149782;-139.2242920306;2119.487061;2016-05-07T17:34:36Z;197
596770.335706919;6739833.97433236;60.7821620163;-139.2228080146;2108.274414;2016-05-07T17:36:41Z;198
596851.513890083;6739795.83263791;60.7818000019;-139.2213369906;2096.567383;2016-05-07T17:38:44Z;199
596934.263660172;6739758.07160834;60.7814410049;-139.2198369652;2086.130615;2016-05-07T17:40:44Z;200
