X,Y,Donjek_asp,northness,profilecur,tangential,Sx_G2_d200,Sx_G13_d20,Donjek_slo,DonjekDEM_,Sx_G4_d200
596434.487883544,6739989.29901098,124.50852,-0.05266,0.00074,0.00111,0.51000,-5.20000,6.91918,2172.00000,4.47000
596517.177357379,6739952.23628509,116.56505,-0.04963,0.00037,0.00087,2.02000,-5.32000,6.37937,2161.00000,3.84000
596597.542785207,6739913.78090765,116.56505,-0.06811,-0.00032,-0.00008,3.79000,-5.20000,7.95580,2149.00000,4.47000
596679.457042286,6739875.31330371,90.00000,-0.00311,-0.00144,-0.00145,6.05000,-1.43000,5.71059,2137.00000,7.01000
596761.240546909,6739838.09837348,101.30994,-0.02480,0.00024,-0.00376,7.05000,-4.21000,7.26463,2122.00000,7.11000
596842.494091954,6739800.07060396,93.01279,0.05888,-0.00333,-0.00448,10.02000,1.43000,6.78145,2109.00000,10.02000
596925.152073876,6739762.22947946,102.99461,0.01834,0.01065,-0.00069,6.30000,-10.98000,7.12942,2113.00000,3.57000
597013.505522264,6739759.7244634,95.19443,-0.00624,0.00131,-0.00152,11.65000,-5.71000,3.94906,2093.00000,13.21000
597102.534504799,6739764.26076306,79.01935,0.03973,0.00245,0.00029,6.55000,-8.64000,12.03964,2083.00000,6.05000
597194.847158834,6739769.52824256,48.94519,0.09006,-0.00192,-0.00218,10.02000,-2.86000,7.32055,2066.00000,11.38000
597283.904080984,6739774.23453315,47.79270,0.11992,0.00013,-0.00096,10.02000,-8.53000,10.28229,2056.00000,10.02000
597374.279902065,6739778.23462267,54.03948,0.11345,-0.00072,-0.00007,12.94000,-8.53000,11.13903,2044.00000,12.94000
597463.789369334,6739784.19670532,60.94540,0.09205,-0.00014,-0.00047,11.00000,-9.93000,10.92615,2031.00000,11.00000
597551.662669059,6739787.51120336,62.70043,0.10090,-0.00100,-0.00282,13.90000,-10.01000,12.29996,2015.00000,13.90000
595692.879387827,6740438.42502747,156.25050,-0.07784,0.00057,-0.00099,4.04000,0.00000,4.87855,2264.00000,1.92000
595630.930413904,6740502.82660466,136.33221,-0.13508,-0.00057,-0.00187,2.78000,-0.69000,10.76274,2278.00000,2.38000
595569.568487204,6740570.53569729,123.11134,-0.04670,0.00067,0.00057,1.01000,-1.69000,4.90451,2291.00000,1.01000
595508.777909456,6740636.05707117,118.30076,-0.04356,0.00082,0.00083,1.52000,-2.81000,5.27233,2299.00000,0.00000
595447.087316954,6740701.46562284,130.23636,-0.06836,0.00163,0.00042,1.01000,-2.43000,6.07533,2307.00000,1.99000
595387.881170975,6740769.02986812,138.36646,-0.11125,0.00150,-0.00030,1.01000,-5.04000,8.55990,2320.00000,3.84000
595323.830673639,6740832.38616224,142.76517,-0.07775,0.00014,-0.00076,1.27000,-2.86000,5.60432,2326.00000,3.20000
595262.558383666,6740899.20335119,137.04541,-0.08994,-0.00221,-0.00189,3.54000,0.00000,7.05858,2337.00000,5.11000
595199.224004942,6740964.20253369,144.92624,-0.11446,0.00068,0.00073,1.27000,-1.69000,10.17418,2355.00000,1.92000
595171.640870216,6741047.27250987,139.39871,-0.08692,-0.00288,-0.00225,4.04000,-1.43000,6.57401,2359.00000,4.04000
595152.394157006,6741134.57797592,147.52881,-0.08393,0.00077,-0.00181,4.04000,0.00000,2.33323,2371.00000,4.04000
595127.963786007,6741223.20065678,188.97263,-0.05927,-0.00373,-0.00104,0.51000,4.29000,3.43994,2372.00000,-0.40000
595142.716721669,6741291.02961176,159.12097,-0.28833,-0.00324,-0.00038,-4.30000,5.87000,17.97454,2387.00000,-3.84000
595178.09131237,6741345.77107107,164.53879,-0.28099,0.00137,-0.00250,-7.55000,4.52000,16.95015,2396.00000,-1.92000
