X;Y;field3;Sdb;WP;DonjekDEM
595204.573;6740698.78;130;0.2;130.2;2324
595209.769;6740690.29;130;0.3;130.3;2324
595171.147;6740758.8;131;0.1;131.1;2334
595175.858;6740749.99;131;0.2;131.2;2334
595180.597;6740741.14;131;0.3;131.3;2334
595179.637;6740816.43;132;0.1;132.1;2344
595177.025;6740806.77;132;0.2;132.2;2344
595174.414;6740797.11;132;0.3;132.3;2338
595195.809;6740873.96;133;0.1;133.1;2345
595193.087;6740864.35;133;0.2;133.2;2345
595190.349;6740854.68;133;0.3;133.3;2345
595229.054;6740920.73;134;0.1;134.1;2347
595222.706;6740913;134;0.2;134.2;2342
595216.357;6740905.27;134;0.3;134.3;2342
595273.736;6740962.49;135;0.1;135.1;2347
595266.262;6740955.85;135;0.2;135.2;2344
595258.788;6740949.22;135;0.3;135.3;2344
595319.589;6741003.16;136;0.1;136.1;2342
595312.106;6740996.53;136;0.2;136.2;2340
595304.623;6740989.89;136;0.3;136.3;2340
595361.12;6741042.01;137;0.1;137.1;2350
595353.88;6741035.16;137;0.2;137.2;2343
595346.599;6741028.28;137;0.3;137.3;2343
595416.818;6741039.16;138;0.1;138.1;2348
595406.972;6741041.14;138;0.2;138.2;2349
595397.183;6741043.11;138;0.3;138.3;2350
595476.402;6741027.26;139;0.1;139.1;2346
595466.562;6741029.22;139;0.2;139.2;2346
595456.782;6741031.17;139;0.3;139.3;2346
595534.87;6741014.36;140;0.1;140.1;2339
595525.156;6741016.54;140;0.2;140.2;2339
595515.383;6741018.74;140;0.3;140.3;2337
595576.143;6740984.07;141;0.1;141.1;2334
595568.658;6740990.74;141;0.2;141.2;2334
595561.211;6740997.38;141;0.3;141.3;2334
595616.572;6740939.89;142;0.1;142.1;2319
595609.992;6740947.38;142;0.2;142.2;2319
595603.371;6740954.91;142;0.3;142.3;2319
595657.2;6740892.28;143;0.1;143.1;2308
595650.755;6740899.88;143;0.2;143.2;2308
595644.27;6740907.52;143;0.3;143.3;2308
595694.828;6740848.34;144;0.1;144.1;2298
595688.343;6740855.9;144;0.2;144.2;2298
595681.821;6740863.5;144;0.3;144.3;2298
595713.054;6740791.31;145;0.1;145.1;2292
595710.742;6740801.08;145;0.2;145.2;2295
595708.443;6740810.79;145;0.3;145.3;2295
595728.569;6740734.28;146;0.1;146.1;2291
595725.878;6740743.92;146;0.2;146.2;2291
595723.187;6740753.55;146;0.3;146.3;2291
595740.535;6740676.13;147;0.1;147.1;2288
595738.66;6740685.94;147;0.2;147.2;2291
595736.774;6740695.81;147;0.3;147.3;2291
595733.832;6740617.38;148;0.1;148.1;2283
595735.565;6740627.26;148;0.2;148.2;2283
595737.286;6740637.09;148;0.3;148.3;2283
595722.813;6740558.82;149;0.1;149.1;2275
595724.681;6740568.61;149;0.2;149.2;2283
595726.561;6740578.47;149;0.3;149.3;2283
595689.039;6740511.46;150;0.1;150.1;2275
595695.495;6740519.05;150;0.2;150.2;2275
595701.989;6740526.69;150;0.3;150.3;2278
595649.068;6740466.5;151;0.1;151.1;2269
595655.739;6740473.93;151;0.2;151.2;2269
595662.41;6740481.37;151;0.3;151.3;2273
595598.884;6740446.76;152;0.1;152.1;2278
595608.512;6740449.48;152;0.2;152.2;2274
595618.14;6740452.2;152;0.3;152.3;2274
595538.968;6740446.04;153;0.1;153.1;2281
595548.929;6740445.64;153;0.2;153.2;2281
595558.95;6740445.24;153;0.3;153.3;2281
595479.906;6740449.11;154;0.1;154.1;2287
595489.892;6740448.57;154;0.2;154.2;2284
595499.877;6740448.02;154;0.3;154.3;2284
595429.768;6740478.7;155;0.1;155.1;2291
595437.837;6740472.87;155;0.2;155.2;2291
595445.955;6740466.99;155;0.3;155.3;2287
595380.297;6740512.74;156;0.1;156.1;2296
595388.588;6740507.09;156;0.2;156.2;2296
595396.828;6740501.48;156;0.3;156.3;2296
595332.841;6740549.55;157;0.1;157.1;2307
595340.656;6740543.33;157;0.2;157.2;2307
595348.518;6740537.08;157;0.3;157.3;2307
596236.318;6740051.18;159;0.1;159.1;2194
596239.241;6740060.82;159;0.2;159.2;2194
596242.124;6740070.33;159;0.3;159.3;2194
596218.835;6739993.52;160;0.1;160.1;2187
596221.727;6740003.06;160;0.2;160.2;2192
596224.637;6740012.65;160;0.3;160.3;2192
596211.363;6739934.58;161;0.1;161.1;2183
596212.28;6739944.5;161;0.2;161.2;2183
596213.202;6739954.47;161;0.3;161.3;2183
596207.434;6739874.01;162;0.1;162.1;2182
596208.025;6739883.96;162;0.2;162.2;2183
596208.62;6739893.97;162;0.3;162.3;2183
596228.119;6739819.43;163;0.1;163.1;2182
596223.817;6739828.44;163;0.2;163.2;2182
596219.489;6739837.5;163;0.3;163.3;2182
596255.996;6739765.84;164;0.1;164.1;2180
596251.304;6739774.71;164;0.2;164.2;2180
596246.639;6739783.53;164;0.3;164.3;2180
596300.468;6739732.3;165;0.1;165.1;2178
596292.003;6739737.56;165;0.2;165.2;2178
596283.491;6739742.84;165;0.3;165.3;2178
596356.584;6739708.25;166;0.1;166.1;2179
596347.246;6739711.93;166;0.2;166.2;2179
596337.964;6739715.59;166;0.3;166.3;2179
596413.988;6739694.31;167;0.1;167.1;2167
596404.248;6739696.39;167;0.2;167.2;2167
596394.45;6739698.48;167;0.3;167.3;2173
596475.147;6739689.78;168;0.1;168.1;2162
596465.194;6739690.25;168;0.2;168.2;2162
596455.18;6739690.73;168;0.3;168.3;2162
596531.848;6739698.77;169;0.1;169.1;2152
596522.013;6739696.78;169;0.2;169.2;2152
596512.235;6739694.79;169;0.3;169.3;2158
596581.897;6739732.33;170;0.1;170.1;2141
596573.997;6739726.14;170;0.2;170.2;2141
596566.145;6739719.98;170;0.3;170.3;2147
596629.351;6739769.2;171;0.1;171.1;2140
596621.459;6739763.08;171;0.2;171.2;2140
596613.52;6739756.92;171;0.3;171.3;2139
596660.642;6739814.09;172;0.1;172.1;2139
596655.493;6739805.56;172;0.2;172.2;2139
596650.315;6739796.98;172;0.3;172.3;2138
596674.698;6739870.87;173;0.1;173.1;2137
596672.88;6739861;173;0.2;173.2;2137
596671.072;6739851.19;173;0.3;173.3;2137
596683.526;6739930.31;174;0.1;174.1;2137
596682.127;6739920.42;174;0.2;174.2;2137
596680.72;6739910.47;174;0.3;174.3;2133
596675.45;6739988.79;175;0.1;175.1;2143
596677.366;6739978.96;175;0.2;175.2;2143
596679.281;6739969.14;175;0.3;175.3;2143
596648.473;6740039.21;176;0.1;176.1;2144
596653.722;6740030.71;176;0.2;176.2;2144
596658.971;6740022.21;176;0.3;176.3;2144
596605.458;6740082;177;0.1;177.1;2152
596612.831;6740075.31;177;0.2;177.2;2151
596620.248;6740068.57;177;0.3;177.3;2151
596554.204;6740110.02;178;0.1;178.1;2162
596563.193;6740105.65;178;0.2;178.2;2154
596572.183;6740101.29;178;0.3;178.3;2154
596503.003;6740139.04;179;0.1;179.1;2168
596511.609;6740134.02;179;0.2;179.2;2168
596520.265;6740128.96;179;0.3;179.3;2162
596449.974;6740147.72;180;0.1;180.1;2170
596459.979;6740146.91;180;0.2;180.2;2170
596469.931;6740146.09;180;0.3;180.3;2170
596388.706;6740147.89;181;0.1;181.1;2184
596398.711;6740148.02;181;0.2;181.2;2184
596408.717;6740148.15;181;0.3;181.3;2178
596330.441;6740150.81;182;0.1;182.1;2189
596340.407;6740150.18;182;0.2;182.2;2189
596350.432;6740149.55;182;0.3;182.3;2189
596287.227;6740122;183;0.1;183.1;2195
596294.692;6740128.61;183;0.2;183.2;2195
596302.198;6740135.26;183;0.3;183.3;2195
596253.915;6740072.8;184;0.1;184.1;2194
596259.095;6740081.34;184;0.2;184.2;2198
596264.306;6740089.93;184;0.3;184.3;2198
595738.282;6740393.04;185;0.1;185.1;2256
595730.635;6740399.46;185;0.2;185.2;2256
595722.947;6740405.92;185;0.3;185.3;2264
595808.584;6740333.99;186;0.1;186.1;2247
595800.911;6740340.44;186;0.2;186.2;2247
595793.308;6740346.82;186;0.3;186.3;2249
595875.097;6740275.46;187;0.1;187.1;2238
595867.593;6740282.1;187;0.2;187.2;2241
595860.155;6740288.69;187;0.3;187.3;2241
595947.717;6740223.27;188;0.1;188.1;2225
595939.569;6740228.97;188;0.2;188.2;2225
595931.346;6740234.72;188;0.3;188.3;2225
596029.41;6740181.77;189;0.1;189.1;2220
596020.412;6740186.15;189;0.2;189.2;2220
596011.414;6740190.52;189;0.3;189.3;2220
596109.737;6740144.32;190;0.1;190.1;2210
596100.721;6740148.5;190;0.2;190.2;2210
596091.623;6740152.72;190;0.3;190.3;2210
596190.28;6740103.4;191;0.1;191.1;2203
596181.43;6740107.94;191;0.2;191.2;2203
596172.499;6740112.53;191;0.3;191.3;2203
596270.417;6740064.51;192;0.1;192.1;2194
596261.426;6740068.84;192;0.2;192.2;2194
596252.355;6740073.21;192;0.3;192.3;2194
596353.092;6740026.28;193;0.1;193.1;2182
596344.057;6740030.43;193;0.2;193.2;2182
596334.94;6740034.63;193;0.3;193.3;2182
596434.488;6739989.3;194;0.1;194.1;2172
596425.361;6739993.44;194;0.2;194.2;2172
596416.316;6739997.54;194;0.3;194.3;2172
596517.177;6739952.24;195;0.1;195.1;2161
596507.992;6739956.35;195;0.2;195.2;2161
596498.89;6739960.42;195;0.3;195.3;2162
596597.543;6739913.78;196;0.1;196.1;2149
596588.545;6739918.12;196;0.2;196.2;2149
596579.546;6739922.46;196;0.3;196.3;2151
596679.457;6739875.31;197;0.1;197.1;2137
596670.353;6739879.57;197;0.2;197.2;2137
596661.331;6739883.8;197;0.3;197.3;2139
596761.241;6739838.1;198;0.1;198.1;2122
596752.145;6739842.22;198;0.2;198.2;2130
